k	n_k	jump_blocks
1	3	0
2	6	1
3	9	1
4	20	4
5	13	1
6	21	2
7	21	1
8	22	1
9	65	7
10	220	26
11	51	4
12	338	36
13	133	11
14	321	30
15	339	28
16	340	23
17	113	6
18	114	6
19	368	22
20	550	34
21	805	49
22	2691	151
23	1884	103
24	2664	135
25	7653	373
26	7654	362
27	36887	1632
28	36888	1573
29	21234	907
30	21235	849
31	3477	130
32	30783	1152
33	30784	1108
34	48543	1671
35	48544	1620
36	579124	18494
37	93436	2911
38	248622	7517
39	248623	7298
40	1702197	48214
41	743211	20907
42	1124708	30443
43	59406	1603
44	59407	1559
45	241250	6107
46	241251	5974
47	235635	5814
48	235636	5690
49	771891	17939
50	771892	17529
# elapsed_seconds=5.025400
